Id,SalePrice
1461,123104.69791538385
1462,157750.98163153324
1463,184327.04788834826
1464,200375.0051135029
1465,192767.71313523757
1466,170105.22071878612
1467,174281.86177212343
1468,163103.28269396492
1469,186118.59549621047
1470,124218.51526116722
1471,190379.7554663727
1472,96637.49176189618
1473,96456.26227866695
1474,145864.43430397872
1475,109378.89699301252
1476,368170.3408932972
1477,253686.9460950527
1478,290828.94808483956
1479,296828.0434169692
1480,513694.09996875876
1481,318916.67705788754
1482,207536.97005002364
1483,176545.17647212444
1484,161844.00862831686
1485,182667.76980646292
1486,195383.36237808337
1487,341802.5478999007
1488,231005.1125166536
1489,202770.9788787067
1490,233343.59330641283
1491,192010.0072089397
1492,93082.91515064352
1493,188333.982911716
1494,290445.8529508755
1495,283591.71045362734
1496,239651.75422720512
1497,179996.54460758268
1498,167361.1123419339
1499,161637.09173850928
1500,159239.7455089605
1501,178157.32117153454
1502,147914.20089415432
1503,296044.4802900257
1504,237589.05799707552
1505,226831.22496706533
1506,188219.11367342478
1507,251344.12619270297
1508,199227.29482616135
1509,160291.1037387845
1510,145985.28760993553
1511,150245.11670724957
1512,173839.34677567828
1513,144100.83617823647
1514,159122.42697532894
1515,188786.75377954653
1516,151336.25072109577
1517,163802.22486388544
1518,130644.7151476579
1519,218378.86779437453
1520,129906.70550077039
1521,134638.76704855319
1522,174135.59002192653
1523,112517.57440319253
1524,122367.03922167132
1525,119349.28139112881
1526,111097.65788705388
1527,104119.8355078092
1528,133540.57476382452
1529,150575.4160328389
1530,179169.02818026693
1531,104304.11431018618
1532,95070.09132994051
1533,148129.41697937425
1534,122913.25608583321
1535,154616.19590898685
1536,109584.25371453009
1537,63147.38379824651
1538,149877.68137855985
1539,184958.08697065854
1540,91534.98591869163
1541,140963.60158574433
1542,143786.38903067666
1543,200537.54624287132
1544,79518.60577840001
1545,112304.91755118035
1546,132021.1555348262
1547,134911.13563865394
1548,136876.07953914368
1549,118607.98672190553
1550,136504.5749787914
1551,105738.76019355489
1552,136278.45531585763
1553,151503.7738112556
1554,117334.67676784741
1555,163740.85524219341
1556,83748.2886380199
1557,99986.63166969927
